Rank,Warning,Description,Src File,Line,Comment,Status,Owner,Priority,Keywords
50,11,dereferencing NULL pointer 'pKeyInfo',filter.cpp,1041,,,naveent,,kernel;
50,11,dereferencing NULL pointer 'pKeyInfo',filter.cpp,1108,,,naveent,,kernel;
50,11,dereferencing NULL pointer 'pKeyInfo',filter.cpp,1174,,,naveent,,kernel;
50,11,dereferencing NULL pointer 'pKeyInfo',imagehwsim.cpp,476,,,naveent,,kernel;
50,11,dereferencing NULL pointer 'm_szwFramePath',imagehwsim.cpp,487,,,naveent,,kernel;
50,11,dereferencing NULL pointer 'pKeyInfo',capture.cpp,934,,,naveent,,kernel;
50,11,dereferencing NULL pointer 'm_ShadowU',cnv12imagesynthesizer.cpp,191,,,naveent,,kernel;
60,1,using uninitialized memory 'DWordFromReg',keregistry.cpp,306,,,naveent,,kernel;
74,13,dereferencing pointer to freed memory 'Clone',capture.cpp,713,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(pIrp)',filter.cpp,4424,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(pIrp)',filter.cpp,5141,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(pIrp)',filter.cpp,5207,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,945,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,1862,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,2129,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,2623,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,3658,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(pIrp)',filter.cpp,4937,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,1313,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,1554,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,1716,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,4068,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,742,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,800,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,874,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(pIrp)',filter.cpp,5096,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(pIrp)',filter.cpp,6165,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(pIrp)',filter.cpp,6203,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,1210,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,1616,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,1981,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,2180,,,naveent,,kernel;
90,11,dereferencing NULL pointer 'KsGetFilterFromIrp(Irp)',filter.cpp,2397,,,naveent,,kernel;
