Rank,Warning,Description,Src File,Line,Comment,Status,Owner,Priority,Keywords
70,14,leaking memory 'operator new(104)',io.cpp,1538,,,shivr,,kernel;
81,11,dereferencing NULL pointer 'Object',io.cpp,2984,,,shivr,,kernel;
90,11,dereferencing NULL pointer 'Object',io.cpp,3738,,,shivr,,kernel;
90,11,dereferencing NULL pointer 'Record',raidsup.cpp,5066,,,shivr,,kernel;
91,11,dereferencing NULL pointer 'Context',io.cpp,1419,,,shivr,,kernel;
91,11,dereferencing NULL pointer 'Context',io.cpp,1646,,,shivr,,kernel;
100,11,dereferencing NULL pointer 'Record',raidsup.cpp,5477,,,shivr,,kernel;
100,11,dereferencing NULL pointer 'Record',raidsup.cpp,5481,,,shivr,,kernel;
100,11,dereferencing NULL pointer 'Record',raidsup.cpp,3396,,,shivr,,kernel;
100,11,dereferencing NULL pointer 'Record',raidsup.cpp,3441,,,shivr,,kernel;
100,11,dereferencing NULL pointer 'Record',raidsup.cpp,5131,,,shivr,,kernel;
100,11,dereferencing NULL pointer 'Record',raidsup.cpp,5396,,,shivr,,kernel;
