Rank,Warning,Description,Src File,Line,Comment,Status,Owner,Priority,Keywords
50,11,dereferencing NULL pointer 'pOutputBuffer',testset0005.cpp,27,,,frankye,,kernel;
50,11,dereferencing NULL pointer 'pOutputBuffer',testset0006.cpp,32,,,frankye,,kernel;
70,14,leaking memory '((void **)&ppDescriptors[i])[0]',eldparser.cpp,975,,,frankye,,kernel;
90,11,dereferencing NULL pointer 'pPathControlDataInterface',hbdaout.cpp,410,,,frankye,,kernel;
90,11,dereferencing NULL pointer 'pPathControlDataInterface',mixedcapture.cpp,1041,,,frankye,,kernel;
90,11,dereferencing NULL pointer 'pPathControlDataInterface',muxedcapture.cpp,743,,,frankye,,kernel;
90,11,dereferencing NULL pointer 'pPathControlDataInterface',spdifout.cpp,322,,,frankye,,kernel;
90,11,dereferencing NULL pointer 'pPathControlData',subdevicegraph.cpp,1852,,,frankye,,kernel;
90,11,dereferencing NULL pointer 'pPathControlDataInterface',subdevicegraph.cpp,1990,,,frankye,,kernel;
90,11,dereferencing NULL pointer 'pPathControlData',subdevicegraph.cpp,1524,,,frankye,,kernel;
90,11,dereferencing NULL pointer 'pPathControlData',subdevicegraph.cpp,1604,,,frankye,,kernel;
100,11,dereferencing NULL pointer '_azPcNodeDesc',azmixerport.cpp,1656,,,frankye,,kernel;
100,11,dereferencing NULL pointer 'azPcNodeDesc',azmixerport.cpp,613,,,frankye,,kernel;
100,11,dereferencing NULL pointer 'azPcNodeDesc',azmixerport.cpp,1053,,,frankye,,kernel;
100,11,dereferencing NULL pointer 'azPcNodeDesc',azmixerport.cpp,2186,,,frankye,,kernel;
100,11,dereferencing NULL pointer 'azPcNodeDesc',azwaveport.cpp,978,,,frankye,,kernel;
