Date,                                                    File name,Running time,         Clients,     Result,Z3 time,Waiting time,SIDecisionsTime,Inlining Call trees,,
8/30/2018 18:28,                     data\avc_completerequest_0.bpl,     20.26s,       4 clients,        NOK,16.22,0,1.71,2.29,,
,                                                   ,           ,                ,           ,3.66,0,0.41,1.22, rse-server-13,
,                                                   ,           ,                ,           ,0.19,0,0.02,0.34, rse-server-14,
,                                                   ,           ,                ,           ,3.17,0,0.28,0.73, rse-server-12,
,                                                   ,           ,                ,           ,9.2,0,1,0, rse-server-15,
8/30/2018 18:29,                     data\avc_completerequest_0.bpl,     20.29s,       3 clients,        NOK,5.5,0,0.47,2.52,,
,                                                   ,           ,                ,           ,3.36,0,0.22,0.83, rse-server-13,
,                                                   ,           ,                ,           ,2.14,0,0.25,1.69, rse-server-14,
8/30/2018 18:30,                     data\avc_completerequest_0.bpl,     44.02s,       2 clients,        NOK,49.96,0,5,1.69,,
,                                                   ,           ,                ,           ,21.94,0,1.86,1.69, rse-server-13,
,                                                   ,           ,                ,           ,28.02,0,3.14,0, rse-server-14,
8/30/2018 18:34,                     data\avc_completerequest_0.bpl,    215.00s,       1 clients,        NOK,162.93,0,15.36,0,,
,                                                   ,           ,                ,           ,162.93,0,15.36,0, rse-server-13,
8/30/2018 18:36,                   data\61883_completerequest_0.bpl,     21.25s,       4 clients,        NOK,21.2,0,2.22,1.87,,
,                                                   ,           ,                ,           ,4.36,0,0.42,0.61, rse-server-13,
,                                                   ,           ,                ,           ,3.78,0,0.28,0.53, rse-server-14,
,                                                   ,           ,                ,           ,4.22,0,0.3,0.73, rse-server-12,
,                                                   ,           ,                ,           ,8.84,0,1.22,0, rse-server-15,
8/30/2018 18:37,                   data\61883_completerequest_0.bpl,     22.04s,       3 clients,        NOK,11.49,0,1.43,0.77,,
,                                                   ,           ,                ,           ,3.72,0,0.27,0.77, rse-server-14,
,                                                   ,           ,                ,           ,7.77,0,1.16,0, rse-server-12,
8/30/2018 18:38,                   data\61883_completerequest_0.bpl,     28.33s,       2 clients,        NOK,11.03,0,1.17,0.41,,
,                                                   ,           ,                ,           ,11.03,0,1.17,0.41, rse-server-13,
8/30/2018 18:39,                   data\61883_completerequest_0.bpl,     28.67s,       1 clients,        NOK,14.41,0,2.09,0,,
,                                                   ,           ,                ,           ,14.41,0,2.09,0, rse-server-13,
8/30/2018 18:43,                data\cyyport_doublecompletion_0.bpl,     40.02s,       1 clients,        NOK,27.94,0,1.83,0,,
,                                                   ,           ,                ,           ,27.94,0,1.83,0, rse-server-13,
8/30/2018 18:44,                data\cyyport_doublecompletion_0.bpl,     31.49s,       2 clients,        NOK,15.03,0,1.41,0.56,,
,                                                   ,           ,                ,           ,15.03,0,1.41,0.56, rse-server-13,
8/30/2018 18:46,                data\cyyport_doublecompletion_0.bpl,     30.07s,       3 clients,        NOK,27.62,0,2.17,0.84,,
,                                                   ,           ,                ,           ,10.84,0,1,0.84, rse-server-13,
,                                                   ,           ,                ,           ,16.78,0,1.17,0, rse-server-12,
8/30/2018 18:47,                data\cyyport_doublecompletion_0.bpl,     28.92s,       4 clients,        NOK,49.81,0,4.71,2.47,,
,                                                   ,           ,                ,           ,10.42,0,1.02,1.33, rse-server-13,
,                                                   ,           ,                ,           ,12.13,0,1.16,0.41, rse-server-14,
,                                                   ,           ,                ,           ,10.09,0,1.14,0.73, rse-server-12,
,                                                   ,           ,                ,           ,17.17,0,1.39,0, rse-server-15,
8/30/2018 18:49,                      data\daytona_ioallocate_1.bpl,     18.87s,       4 clients,         RB,11.41,27.74,0.97,4,,
,                                                   ,           ,                ,           ,3.08,6.23,0.17,1.84, rse-server-13,
,                                                   ,           ,                ,           ,1.75,8.77,0.14,1.3, rse-server-14,
,                                                   ,           ,                ,           ,0.66,9.8,0.05,0.86, rse-server-12,
,                                                   ,           ,                ,           ,5.92,2.94,0.61,0, rse-server-15,
8/30/2018 18:50,                      data\daytona_ioallocate_1.bpl,     20.16s,       3 clients,         RB,12,19.88,0.83,4.46,,
,                                                   ,           ,                ,           ,3.3,9.52,0.19,1.02, rse-server-13,
,                                                   ,           ,                ,           ,2.5,8.59,0.16,2.28, rse-server-14,
,                                                   ,           ,                ,           ,6.2,1.77,0.48,1.16, rse-server-12,
8/30/2018 18:51,                      data\daytona_ioallocate_1.bpl,     19.64s,       2 clients,         RB,11.42,9.3,0.87,2.77,,
,                                                   ,           ,                ,           ,3.36,8.11,0.23,1.61, rse-server-13,
,                                                   ,           ,                ,           ,8.06,1.19,0.64,1.16, rse-server-14,
8/30/2018 18:52,                      data\daytona_ioallocate_1.bpl,     20.34s,       1 clients,         RB,9.97,0.02,0.73,0,,
,                                                   ,           ,                ,           ,9.97,0.02,0.73,0, rse-server-13,
8/30/2018 18:54,        data\1394vdev_pendedcompletedrequest2_0.bpl,     36.37s,       1 clients,         RB,22.03,0.03,3.64,0,,
,                                                   ,           ,                ,           ,22.03,0.03,3.64,0, rse-server-13,
8/30/2018 18:55,        data\1394vdev_pendedcompletedrequest2_0.bpl,     24.03s,       2 clients,         RB,23.55,4.86,3.55,0.92,,
,                                                   ,           ,                ,           ,9.77,4.73,1.58,0.92, rse-server-13,
,                                                   ,           ,                ,           ,13.78,0.13,1.97,0, rse-server-14,
8/30/2018 18:56,        data\1394vdev_pendedcompletedrequest2_0.bpl,     23.13s,       3 clients,         RB,21.33,17.92,3.5,4,,
,                                                   ,           ,                ,           ,8.89,6.16,1.39,0.39, rse-server-13,
,                                                   ,           ,                ,           ,8,6,1.52,0.61, rse-server-14,
,                                                   ,           ,                ,           ,4.44,5.77,0.59,3, rse-server-12,
8/30/2018 18:56,        data\1394vdev_pendedcompletedrequest2_0.bpl,     21.89s,       4 clients,         RB,23.18,23.19,4.03,8.08,,
,                                                   ,           ,                ,           ,8.63,4.58,1.44,0.39, rse-server-13,
,                                                   ,           ,                ,           ,7.8,5.03,1.56,0.61, rse-server-14,
,                                                   ,           ,                ,           ,2.25,7.89,0.34,3.83, rse-server-12,
,                                                   ,           ,                ,           ,4.5,5.69,0.69,3.25, rse-server-15,
8/30/2018 18:58,                    data\61883_multremovelock_1.bpl,     28.15s,       4 clients,         RB,34.94,31.21,2.68,7.9,,
,                                                   ,           ,                ,           ,12,6.31,0.94,0.39, rse-server-13,
,                                                   ,           ,                ,           ,8.02,8.31,0.64,2.78, rse-server-14,
,                                                   ,           ,                ,           ,4.83,10.13,0.33,3.59, rse-server-12,
,                                                   ,           ,                ,           ,10.09,6.45,0.77,1.14, rse-server-15,
8/30/2018 19:00,                    data\61883_multremovelock_1.bpl,     31.94s,       3 clients,         RB,38.29,19.61,2.91,4.04,,
,                                                   ,           ,                ,           ,14.61,6.64,1,0.44, rse-server-13,
,                                                   ,           ,                ,           ,8.63,10.91,0.88,2.8, rse-server-14,
,                                                   ,           ,                ,           ,15.05,2.06,1.03,0.8, rse-server-12,
8/30/2018 19:00,                    data\61883_multremovelock_1.bpl,     30.25s,       2 clients,         RB,32.65,4.25,2.25,0.69,,
,                                                   ,           ,                ,           ,15.45,3.47,1.05,0.41, rse-server-13,
,                                                   ,           ,                ,           ,17.2,0.78,1.2,0.28, rse-server-14,
8/30/2018 19:02,                    data\61883_multremovelock_1.bpl,     47.13s,       1 clients,         RB,30.47,0.05,2.33,0,,
,                                                   ,           ,                ,           ,30.47,0.05,2.33,0, rse-server-13,
